instruction,output
"The MPON reports the meter operation to the GO . The GO examines the application of the MPON . The GO rejects the application of the MPON or the GO confirmes the application of the MPON . The GO informs the MPOO about the registration confirmation of the MPON . The GO informs the MSPO about the registration confirmation of the MPON . The MPON and the MPOO perform the equipment acquisition and / or equipment changes . The MPON informs the GO about the failure of the entire process or the MPON informs the GO about the successful completion of the entire process . The GO informs the MPON about the failure of the overall transaction by deadline if after a maximum time limit no message of the MPON is present at the GO . If the MPON informs the GO about the failure of the entire process , the GO confirms the failure of the assignment to the MPON . If the MPON informs the GO about the successful completion of the overall process , the GO assigns the MPON . The GO confirms the assignment to the MPON . The GO informs the MPOO about the failure of the assignment of the MPON or the GO informs the MPOO about the assignment of the MPON . The GO informs the MSPO about the failure of the assignment of the MPON or the GO informs the MSPO about the assignment of the MPON . The GO informs the SP about the assignment of the MPON .","['reports the meter operation', 'examines the application of the MPON', 'rejects the application of the MPON', 'confirms the application of the MPON', 'informs the MPOO about the registration confirmation of the MPON', 'informs the MSPO about the registration confirmation of the MPON', 'and the MPOO perform the equipment acquisition and/or equipment changes', 'informs the GO about the failure of the entire process', 'informs the GO about the successful completion of the entire process', 'informs the MPON about the failure of the overall transaction by deadline if after a maximum time limit no message of the MPON is present at the GO', 'informs the GO about the failure of the entire process', 'confirms the failure of the assignment to the MPON', 'informs the GO about the successful completion of the overall process', 'assigns the MPON', 'confirms the assignment to the MPON', 'informs the MPOO about the failure of the assignment of the MPON', 'informs the MPOO about the assignment of the MPON', 'informs the MSPO about the failure of the assignment of the MPON', 'informs the MSPO about the assignment of the MPON', 'informs the SP about the assignment of the MPON']"
"The MPOO deregisters at the GO . The GO verifies the deregistration . The GO rejects the deregistration of the MPOO or the GO preliminarily confirms the deregistration of the MPOO . The GO prepares the readmission of the measuring point . Optionally , the GO may oblige the MPOO to continue the operations . If the GO binds the MPOO to continue the operation , the MPOO confirmes the continuation to the MPOO . The GO performs the equipment acquisition and / or equipment changes . The GO assigns the GO as MPO . The GO informs the MPOO about the end of the assignment of the MPOO and the beginning of the assignment of the GO . The GO informs the MSPO about the assignment of the GO . The GO informs the SP about the assignment of the GO .","[ 'deregisters', 'verifies the deregistration', 'rejects the deregistration of the MPOO', 'preliminarily confirms the deregistration of the MPOO', 'prepares the readmission of the measuring point', 'may oblige the MPOO to continue the operations', 'binds the MPOO to continue the operation', 'confirmes the continuation to the MPOO', 'performs the equipment acquisition and/or equipment changes', 'assigns the GO as MPO', 'informs the MPOO about the end of the assignment of the MPOO and the beginning of the assignment of the GO', 'informs the MSPO about the assignment of the GO', 'informs the SP about the assignment of the GO' ]"
"The MPON notifies the MPOO about equipment change intentions . The MPOO announces self dismounting to the MPON or the MPOO shall notify the MPON about no self-dismounting of the MPOO . The MPON or the MPOO perform the final reading . The MPON or the MPOO dismount the old equipment . The MPON mounts the new device . The MPON reads the meter count from the installed meter . The MPON sents the values of the final reading to the GO . The MPON tells the GO about the device changes , the master data and the meter count at installation . The GO shall notify the MSP about the device changes , the master data , the meter count at dismounting , and the meter count at installation .","[
    'notifies the MPOO about equipment change intentions',
    'announces self dismounting',
    'shall notify the MPON about no self-dismounting of the MPOO',
    'perform the final reading',
    'dismount the old equipment',
    'mounts the new device',
    'reads the meter count from the installed meter',
    'sents the values of the final reading to the GO',
    'tells the GO about the device changes, the master data and the meter count at installation',
    'shall notify the MSP about the device changes, the master data, the meter count at dismounting, and the meter count at installation'
]"
The MPON requests a device takeover bid of the MPOO . The MPOO sends a tender for the equipment takeover to the MPON . The MPON places an order at the MPOO . The MPOO confirms the order of the MPON and sends the master data .,"[ 'requests a device takeover bid', 'sends a tender for the equipment takeover', 'places an order at the MPOO', 'confirms the order of the MPON and sends the master data' ]"
The MSPN sents a dismissal to the MSPO . The MSPO reviews the dismissal . The MSPO rejects the dismissal of the MSPN or The MSPO confirms the dismissal of the MSPN .,"[ 'sents a dismissal', 'reviews the dismissal', 'rejects the dismissal of the MSPN', 'confirms the dismissal of the MSPN' ]"
The MSPN registers the measurement at the GO . The GO examines the application of the MSPN . The GO rejects the application of the MSPN or the GO confirmes the application of the MSPN . The GO assigns the MSPN . The GO informs the MSPO about the assignment of MSPN . The GO informs the MPO about the assignment of the MSPN . The GO informs the SP about the assignment of MSPN .,"[ 'registers the measurement', 'examines the application of the MSPN', 'rejects the application of the MSPN', 'confirmes the application of the MSPN', 'assigns the MSPN', 'informs the MSPO about the assignment of MSPN', 'informs the MPO about the assignment of the MSPN', 'informs the SP about the assignment of MSPN' ]"
The MSPO deregisters at the GO . The GO verifies the deregistration . The GO rejects the deregistration of the MSPO or the GO preliminarily confirms the deregistration of the MSPO . The GO assigns himself as MSP . The GO informs the MSPO about the end of the assignment and the beginning of the assignment of the GO . The GO informs the MPO about the assignment of the GO . The GO informs the SP about the assignment of the GO .,"[ 'deregisters at the GO', 'verifies the deregistration', 'rejects the deregistration of the MSPO', 'preliminarily confirms the deregistration of the MSPO', 'assigns himself as MSP', 'informs the MSPO about the end of the assignment and the beginning of the assignment of the GO', 'informs the MPO about the assignment of the GO', 'informs the SP about the assignment of the GO' ]"
The SP / PU / GO request changes to the MPO or the MPO himself causes a change . The MPO reviews the change request . The MPO rejects the change of the measuring point by the SP / PU / GO or the MPO confirmes the request of the SP / PU / GO . The MPO performs the measuring point change . The MPO reports the implementation to the SP / PU / GO or notifies the SP / PU / GO about the failure of the changes .,"[ 'request changes to the MPO', 'causes a change', 'reviews the change request', 'rejects the change of the measuring point by the SP/PU/GO', 'confirmes the request of the SP/PU/GO', 'performs the measuring point change', 'reports the implementation to the SP/PU/GO', 'notifies the SP/PU/GO about the failure of the changes' ]"
"The process is initiated by a switch-over request . In doing so , the customer transmits his data to the customer service department of the company . Customer service is a shared service center between the departments Sales and Distribution . The customer data is received by customer service and based on this data a customer data object is entered into the CRM system . After customer data has been entered it should then be compared with the internal customer data base and checked for completeness and plausibility . In case of any errors these should be corrected on the basis of a simple error list . The comparison of data is done to prevent individual customer data being stored multiple times . In case the customer does not exist in the customer data base , a new customer object is being created which will remain the data object of interest during the rest of the process flow . This object consists of data elements such as the customer's name and address and the assigned power gauge . The generated customer object is then used , in combination with other customer data to prepare the contract documents for the power supplier switch ( including data such as bank connection , information on the selected rate , requested date of switch-over ) . In the following an automated check of the contract documents is carried out within the CIS ( customer information system ) in order to confirm their successful generation . In case of a negative response , i.e . the contract documents are not ( or incorrectly ) generated , the causing issues are being analyzed and resolved . Subsequently the contract documents are generated once again . In case of a positive response a confirmation document is sent out to the customer stating that the switch-over to the new supplier can be executed . A request to the grid operator is automatically sent out by the CIS . It puts the question whether the customer may be supplied by the selected supplier in the future . The switch-over request is checked by the grid operator for supplier concurrence , and the grid operator transmits a response comment . In the case of supplier concurrence the grid operator would inform all involved suppliers and demand the resolution of the conflict . The grid operator communicates with the old supplier and carries out the termination of the sales agreement between the customer and the old supplier ( i.e . the customer service ( of the new supplier ) does not have to interact with the old supplier regarding termination ) . If there are not any objections by the grid operator ( i.e . no supplier concurrence ) , customer service creates a CIS contract . The customer then has the chance to check the contract details and based on this check may decide to either withdraw from the switch contract or confirm it . Depending on the customer's acceptance / rejection the process flow at customer service either ends ( in case of withdrawal ) or continues ( in case of a confirmation ) . An additional constraint is that the customer can only withdraw from the offered contract within 7 days after the 7th day the contract will be regarded as accepted and the process continues . The confirmation message by the customer is therefore not absolutely necessary ( as it will count as accepted after 7 days in any way ) but it can speed up the switch process . On the switch-date , but no later than 10 days after power supply has begun , the grid operator transmits the power meter data to the customer service and the old supplier via messages containing a services consumption report . At the same time , the grid operator computes the final billing based on the meter data and sends it to the old supplier . Likewise the old supplier creates and sends the final billing to the customer . For the customer as well as the grid operator the process ends then . After receiving the meter data customer service imports the meter data to systems that require the information . The process of winning a new customer ends here .","[
    ""Transmits"",
    ""Received by customer service"",
    ""Entered into the CRM system"",
    ""Compared with the internal customer data base"",
    ""Checked for completeness and plausibility"",
    ""Corrected on the basis of a simple error list"",
    ""Created a new customer object"",
    ""Used in combination with other customer data to prepare the contract documents for the power supplier switch"",
    ""Carried out an automated check of the contract documents within the CIS (customer information system)"",
    ""Analyzed and resolved causing issues"",
    ""Generated the contract documents once again"",
    ""Sent out a confirmation document to the customer"",
    ""Sent out a request to the grid operator by the CIS"",
    ""Checked the switch-over request for supplier concurrence by the grid operator"",
    ""Informed all involved suppliers and demanded the resolution of the conflict by the grid operator"",
    ""Carried out the termination of the sales agreement between the customer and the old supplier by the grid operator"",
    ""Created a CIS contract by customer service"",
    ""Given the chance to the customer to check the contract details and decide"",
    ""Transmitted the power meter data to the customer service and the old supplier via messages containing a services consumption report by the grid operator"",
    ""Sent the final billing to the customer by the old supplier"",
    ""Imported the meter data to systems that require the information by customer service""
]"
"The party sends a warrant possession request asking a warrant to be released . The Client Service Back Office as part of the Small Claims Registry Operations receives the request and retrieves the SCT file . Then , the SCT Warrant Possession is forwarded to Queensland Police . The SCT physical file is stored by the Back Office awaiting a report to be sent by the Police . When the report is received , the respective SCT file is retrieved . Then , Back Office attaches the new SCT document , and stores the expanded SCT physical file . After that , some other MC internal staff receives the physical SCT file ( out of scope ) .","[
    'sends a warrant possession request',
    'receives the request',
    'retrieves the SCT file',
    'forwarded to Queensland Police',
    'stores by the Back Office',
    'sent by the Police',
    'received',
    'retrieved',
    'attaches the new SCT document',
    'stores the expanded SCT physical file',
    'receives the physical SCT file'
]"
"Each morning , the files which have yet to be processed need to be checked , to make sure they are in order for the court hearing that day . If some files are missing , a search is initiated , otherwise the files can be physically tracked to the intended location . Once all the files are ready , these are handed to the Associate , and meantime the Judgeis Lawlist is distributed to the relevant people . Afterwards , the directions hearings are conducted .","[ 'files which have yet to be processed need to be checked', 'some files are missing, a search is initiated, otherwise the files can be physically tracked to the intended location.', 'all the files are ready, these are handed to the Associate, and meantime the Judgeis Lawlist is distributed to the relevant people.', 'the directions hearings are conducted.' ]"
"After a claim is registered , it is examined by a claims officer . The claims officer then writes a settlement recommendation . This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK . If the claim is marked as Not OK , it is sent back to the claims officer and the recommendation is repeated . If the claim is OK , the claim handling process proceeds .","Activities = [
'register a claim',
'examine a claim',
'write a settlement recommendation',
'check a recommendation',
'mark the claim',
'send back the claim',
'repeat the recommendation',
'proceed with the claim handling process'
]"
"Mail from the party is collected on a daily basis by the Mail Processing Unit . Within this unit , the Mail Clerk sorts the unopened mail into the various business areas . The mail is then distributed . When the mail is received by the Registry , it is opened and sorted into groups for distribution , and thus registered in a manual incoming Mail Register . Afterwards , the Assistant Registry Manager within the Registry performs a quality check . If the mail is not compliant , a list of requisition explaining the reason for rejection is compiled and sent back to the party . Otherwise , the matter details ( types of action ) are captured and provided to the Cashier , who takes the applicable fees attached to the mail . At this point , the Assistant Registry Manager puts the receipt and copied documents into an envelope and posts it to the party . Meantime , the Cashier captures the Party Details and prints the Physical Court File .","[ 'collect mail', 'sort unopened mail', 'distribute the mail', 'receive mail', 'open and sort mail', 'register in a manual incoming Mail Register', 'perform a quality check', 'compile a list of requisition', 'send back to the party', 'capture and provide matter details to the Cashier', 'take the applicable fees attached to the mail', 'put the receipt and copied documents into an envelope and post', 'capture the Party Details', 'print the Physical Court File' ]"
"When a claim is received , it is first checked whether the claimant is insured by the organization . If not , the claimant is informed that the claim must be rejected . Otherwise , the severity of the claim is evaluated . Based on the outcome ( simple or complex claims ) , relevant forms are sent to the claimant . Once the forms are returned , they are checked for completeness . If the forms provide all relevant details , the claim is registered in the Claims Management system , which ends the Claims Notification process . Otherwise , the claimant is informed to update the forms . Upon reception of the updated forms , they are checked again .","[
    'received a claim',
    'checked it',
    'informed the claimant',
    'evaluated the severity of the claim',
    'sent forms to the claimant',
    'returned the forms',
    'checked them for completeness',
    'provide all relevant details',
    'registered the claim in the Claims Management system',
    'ended the Claims Notification process',
    'updated the forms',
    'reception of the updated forms',
    'checked them again'
]"
"The Police Report related to the car accident is searched within the Police Report database and put in a file together with the Claim Documentation . This file serves as input to a claims handler who calculates an initial claim estimate . Then , the claims handler creates an Action Plan based on an Action Plan Checklist available in the Document Management system . Based on the Action Plan , a claims manager tries to negotiate a settlement on the claim estimate . The claimant is informed of the outcome , which ends the process .","[ 'searched the Police Report', 'put in a file', 'serves as input', 'calculates an initial claim estimate', 'creates an Action Plan', 'tries to negotiate a settlement on the claim estimate', 'informed the claimant of the outcome' ]"
"The process starts when a customer submits a claim by sending in relevant documentation . The Notification department at the car insurer checks the documents upon completeness and registers the claim . Then , the Handling department picks up the claim and checks the insurance . Then , an assessment is performed . If the assessment is positive , a garage is phoned to authorise the repairs and the payment is scheduled ( in this order ) . Otherwise , the claim is rejected . In any case ( whether the outcome is positive or negative ) , a letter is sent to the customer and the process is considered to be complete .","[ 'submits a claim', 'checks the documents', 'registers the claim', 'picks up the claim', 'checks the insurance', 'performs an assessment', 'phones to authorise the repairs', 'schedules the payment', 'rejects the claim', 'sends a letter', 'considers the process to be complete']"
"The intake workflow starts with a notice by telephone at the secretarial office of the mental health care institute . This notice is done by the family doctor of somebody who is in need of mental treatment . The secretarial worker inquires after the name and residence of the patient . On the basis of this information , the doctor is put through to the nursing officer responsible for the part of the region that the patient lives in . The nursing officer makes a full inquiry into the mental , health , and social state of the patient in question . This information is recorded on a registration form . At the end of the conversation , this form is handed in at the secretarial office of the institute . Here , the information on the form is stored in the information system and subsequently printed . For new patients , a patient file is created . The registration form as well as the print from the information system are stored in the patient file . Patient files are kept at the secretarial office and may not leave the building . At the secretarial office , two registration cards are produced for respectively the future first and second intaker of the patient . The registration card contains a set of basic patient data . The new patient is added on the list of new notices . Halfway the week , at Wednesday , a staff meeting of the entire medical team takes place . The medical team consists of social-medical workers , physicians , and a psychiatrist . At this meeting , the team-leader assigns all new patients on the list of new notices to members of the team . Each patient will be assigned to a social-medical worker , who will act as the first intaker of the patient . One of the physicians will act as the second intaker . In assigning intakers , the teamleader takes into account their expertise , the region they are responsible for , earlier contacts they might have had with the patient , and their case load . The assignments are recorded on an assignment list which is handed to the secretarial office . For each new assignment , it is also determined whether the medical file of the patient is required . This information is added to the assignment list . The secretarial office stores the assignment of each patient of the assignment list in the information system . It passes the produced registration cards to the first and second intaker of each newly assigned patient . An intaker keeps this registration with him at times when visiting the patient and in his close proximity when he is at the office . For each patient for which the medical file is required , the secretarial office prepares and sends a letter to the family doctor of the patient , requesting for a copy of the medical file . As soon as this copy is received , the secretarial office will inform the second intaker and add the copy to the patient file . The first intaker plans a meeting with the patient as soon as this is possible . During the first meeting , the patient is examined using a standard checklist which is filled out . Additional observations are registered in a personal notebook . After a visit , the first intaker puts a copy of these notes in the file of a patient . The standard checklist is also added to the patient's file . The second intaker plans the first meeting only after the medical information of the physician if required has been received . Physicians use dictaphones to record their observations made during meetings with patients . The secretarial office types out these tapes , after which the information is added to the patient file . As soon as the meetings of the first and second intaker with the patient have taken place , the secretarial office puts the patient on the list of patients that reach this status . For the staff meeting on Wednesday , they provide the team-leader with a list of these patients . For each of these patients , the first and second intaker together with the team-leader and the attending psychiatrist formulate a treatment plan . This treatment plan formally ends the intake procedure .","[
'Notice by telephone.',
'Inquiry of the patient's name and residence.',
'Put through the doctor to the relevant nursing officer.',
'Full inquiry into the patient's mental, health, and social state.',
'Recording of information on a registration form.',
'Storing of the form in the information system and subsequent printing.',
'Creating a patient file for new patients.',
'Production of two registration cards.',
'Addition of the new patient to a list of new notices.',
'Assignment of new patients to team members during a staff meeting.',
'Recording of patient assignments.',
'Preparing and sending of a letter to the family doctor for required medical files.',
'Informing the second intaker once the copy of the medical file is received.',
'Planning and execution of a meeting with the patient by the first intaker.',
'Planning and execution of a meeting with the patient by the second intaker, contingent upon receiving medical information.',
'Recording of observations by physicians using dictaphones.',
'Typing out the recorded observations and adding them to the patient file.',
'Formulation of a treatment plan for the patient.'
]"
"The loan approval process starts by receiving a customer request for a loan amount . The risk assessment Web service is invoked to assess the request . If the loan is small and the customer is low risk , the loan is approved . If the customer is high risk , the loan is denied . If the customer needs further review or the loan amount is for $10,000 or more , the request is sent to the approver Web service . The customer receives feedback from the assessor or approver .","['receiving a customer request', 'assess the request', 'approved the loan', 'denied the request', 'sent receives feedback from']"
"The process of Vacations Request starts when any employee of the organization submits a vacation request . Once the requirement is registered , the request is received by the immediate supervisor of the employee requesting the vacation . The supervisor must approve or reject the request . If the request is rejected , the application is returned to the applicant / employee who can review the rejection reasons . If the request is approved a notification is generated to the Human Resources Representative , who must complete the respective management procedures .","['submits a vacation request',  'registered requirement',  'received the request',  'approve or reject the request',  'returned the application',  'review the rejection reasons',  'approved a notification',  'complete the respective management procedures']"
"The process of an Office Supply Request starts when any employee of the organization submits an office supply request . Once the requirement is registered , the request is received by the immediate supervisor of the employee requesting the office supplies . The supervisor must approve or ask for a change , or reject the request . If the request is rejected the process will end . If the request is asked to make a change then it is returned to the petitioner / employee who can review the comments for the change request . If the request is approved it will go to the purchase department that will be in charge of making quotations ( using a subprocess ) and select a vendor . If the vendor is not valid in the system the purchase department will have to choose a different vendor . After a vendor is selected and confirmed , the system will generate and send a purchase order and wait for the product to be delivered and the invoice received . In any case the system will send a notification to let the user know what the result was . In any of the cases , approval , rejection or change required the system will send the user a notification .","['submits an office supply request',
 'requirement is registered',
 'request is received',
 'supervisor must approve or ask for a change, or reject the request',
 'request is rejected',
 'request is asked to make a change',
 'request is approved',
 'purchase department will be in charge of making quotations',
 'purchase department will select a vendor',
 'vendor is valid',
 'purchase department will choose a different vendor',
 'vendor is selected and confirmed',
 'system will generate and send a purchase order',
 'product will be delivered',
 'invoice is received',
 'system will send a notification',
 'system will send the user a notification']"
"An employee purchases a product or service he requires . For instance , a sales person on a trip rents a car . The employee submits an expense report with a list of items , along with the receipts for each item . A supervisor reviews the expense report and approves or rejects the report . Since the company has expense rules , there are circumstances where the supervisor can accept or reject the report upon first inspection . These rules could be automated , to reduce the workload on the supervisor . If the supervisor rejects the report , the employee , who submitted it , is given a chance to edit it , for example to correct errors or better describe an expense . If the supervisor approves the report , it goes to the treasurer . The treasurer checks that all the receipts have been submitted and match the items on the list . If all is in order , the treasurer accepts the expenses for processing ( including , e.g . , payment or refund , and accounting ) . If receipts are missing or do not match the report , he sends it back to the employee . If a report returns to the employee for corrections , it must again go to a supervisor , even if the supervisor previously approved the report . If the treasurer accepts the expenses for processing , the report moves to an automatic activity that links to a payment system . The process waits for the payment confirmation . After the payment is confirmed , the process ends .","['purchases a product or service',
'submits an expense report with a list of items, along with the receipts for each item',
'reviews the expense report and approves or rejects the report',
'accepts the expenses for processing (including, e.g., payment or refund, and accounting)',
'checks that all the receipts have been submitted and match the items on the list',
'accepts the expenses for processing',
'links to a payment system']"
"The process starts periodically on the first of each month , when Assembler AG places an order with the supplier in order to request more product parts . a ) Assembler AG sends the order to the supplier . b ) The supplier processes the order . c ) The supplier sends an invoice to Assembler AG . d ) Assembler AG receives the invoice .","['places an order', 'sends the order to the supplier', 'processes the order', 'sends an invoice to Assembler AG', 'receives the invoice']"
"Every time we get a new order from the sales department , first , one of my masters determines the necessary parts and quantities as well as the delivery date . Once that information is present , it has to be entered into our production planning system ( PPS ) . It optimizes our production processes and creates possibly uniform work packages so that the setup times are minimized . Besides , it creates a list of parts to be procured . Unfortunately it is not coupled correctly to our Enterprise Resource Planning system ( ERP ) , so the data must be transferred manually . By the way , that is the second step . Once all the data is present , we need to decide whether any parts are missing and must be procured or if this is not necessary . Once production is scheduled to start , we receive a notice from the system and an employee takes care of the implementation . Finally , the order will be checked again for its quality .","['get a new order', 'determines the necessary parts and quantities as well as the delivery date', 'entered into our production planning system', 'optimizes our production processes and creates possibly uniform work packages so that the setup times are minimized', 'creates a list of parts to be procured', 'transferred manually', 'decide whether any parts are missing and must be procured or if this is not necessary', 'receive a notice from the system and an employee takes care of the implementation', 'the order will be checked again for its quality']"
"The first step is to determine contact details of potential customers . This can be achieved in several ways . Sometimes , we buy details for cold calls , sometimes , our marketing staff participates in exhibitions and sometimes , you just happen to know somebody , who is interested in the product . Then we start calling the customer . That is done by the call center staff . They are determining the contact person and the budget which would be available for the project . Of course , asking the customer whether he is generally interested is also important . If this is not the case , we leave him alone , except if the potential project budget is huge . Then the head of development personally tries to acquire the customer . If the customer is interested in the end , the next step is a detailed online presentation . It is given either by a sales representative or by a pre-sales employee in case of a more technical presentation . Afterwards we are waiting for the customer to come back to us . If we are not contacted within 2 weeks , a sales representative is calling the customer . The last phase is the creation of a quotation ."," ['determine contact details of potential customers', 'buy details for cold calls', 'participates in exhibitions', 'know somebody who is interested in the product', 'start calling the customer', 'determining the contact person and the budget which would be available for the project', 'asking the customer whether he is generally interested', 'tries to acquire the customer', 'detailed online presentation', 'waiting for the customer to come back to us', 'calling the customer', 'creation of a quotation']"
"First , the Manager checks the open leads . Afterwards , he selects the top five ones . He then tells his Sales Assistant to call the contact person of the leads . The Sales Assistant calls each customer . If someone is interested , he sends a note to the Manager . The Manager then processes the lead . Otherwise , he calls the next customer ."," ['checks the open leads', 'selects the top five ones', 'tells his Sales Assistant to call the contact person of the leads', 'calls each customer', 'sends a note to the Manager', 'processes the lead', 'calls the next customer']"
"The process is triggered by the demand of a functional department to fill a post . The post is advertised , applicants apply , the applications are checked and the post is filled . The process finishes when the post was filled , precisely through the conclusion of a contract of employment .","['demand of a functional department to fill a post', 'post is advertised', 'applicants apply', 'applications are checked', 'post is filled', 'process finishes when the post was filled', 'conclusion of a contract of employment']"
